"rank","country","hdi2019","pop2022"
"1","Norway","0.9570","5434.3190"
"2","Switzerland","0.9550","8740.4720"
"3","Ireland","0.9550","5023.1090"
"4","Hong Kong","0.9490","7488.8650"
"5","Iceland","0.9490","372.8990"
"6","Germany","0.9470","83369.8430"
"7","Sweden","0.9450","10549.3470"
"8","Australia","0.9440","26177.4130"
"9","Netherlands","0.9440","17564.0140"
"10","Denmark","0.9400","5882.2610"
"11","Singapore","0.9380","5975.6890"
"12","Finland","0.9380","5540.7450"
"13","United Kingdom","0.9320","67508.9360"
"14","Belgium","0.9310","11655.9300"
"15","New Zealand","0.9310","5185.2880"
"16","Canada","0.9290","38454.3270"
"17","United States","0.9260","338289.8570"
"18","Austria","0.9220","8939.6170"
"19","Japan","0.9190","123951.6920"
"20","Israel","0.9190","9038.3090"
"21","Liechtenstein","0.9190","39.3270"
"22","Slovenia","0.9170","2119.8440"
"23","South Korea","0.9160","51815.8100"
"24","Luxembourg","0.9160","647.5990"
"25","Spain","0.9040","47558.6300"
"26","France","0.9010","64626.6280"
"27","Malta","0.8950","533.2860"
"28","Italy","0.8920","59037.4740"
"29","Estonia","0.8920","1326.0620"
"30","United Arab Emirates","0.8900","9441.1290"
"31","Greece","0.8880","10384.9710"
"32","Cyprus","0.8870","1251.4880"
"33","Lithuania","0.8820","2750.0550"
"34","Poland","0.8800","39857.1450"
"35","Andorra","0.8680","79.8240"
"36","Latvia","0.8660","1850.6510"
"37","Portugal","0.8640","10270.8650"
"38","Slovakia","0.8600","5643.4530"
"39","Saudi Arabia","0.8540","36408.8200"
"40","Hungary","0.8540","9967.3080"
"41","Bahrain","0.8520","1472.2330"
"42","Chile","0.8510","19603.7330"
"43","Croatia","0.8510","4030.3580"
"44","Qatar","0.8480","2695.1220"
"45","Argentina","0.8450","45510.3180"
"46","Montenegro","0.8290","627.0820"
"47","Romania","0.8280","19659.2670"
"48","Palau","0.8260","18.0550"
"49","Kazakhstan","0.8250","19397.9980"
